,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
54,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTP']",0.82625,0.13566387691644377,0.1975
55,ESTP,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTP']",0.75,0.15206906325745548,0.23625
56,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.83125,0.13621559198564606,0.175
57,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.79625,0.1443249372076773,0.21125
58,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.82625,0.1184469818104286,0.19375
59,ISFP,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.7625,0.1386317063301177,0.255
60,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.82125,0.14280121673151108,0.195
61,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.84125,0.13446072846745996,0.17
62,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.7875,0.14523687548277814,0.2125
63,ISTP,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.77875,0.15895655853093954,0.24625
64,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.82375,0.1415262784785921,0.19125
65,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.8125,0.1293010054098575,0.205
66,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.83,0.12932517156377563,0.19875
67,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.80875,0.1419231746403666,0.1875
68,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.81125,0.13404173790278906,0.20125
69,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.81375,0.14523149623962428,0.1925
70,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.82625,0.12977745374293642,0.18875
71,ISFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.81625,0.13970392800490616,0.2125
72,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.81375,0.14736752525573604,0.18375
73,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.82625,0.14240676774648034,0.2025
74,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.81625,0.1304499425066949,0.17875
75,ISTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.845,0.1200520720354297,0.19125
76,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.82375,0.1404179030608277,0.19625
77,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.815,0.1386091627562911,0.20375
78,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.79875,0.13907619314605932,0.215
79,ENFP,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.8175,0.14188463623662712,0.19875
80,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.83125,0.12295197233066252,0.1925
81,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.80375,0.14170281401581267,0.20375
82,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.81875,0.14617519454408126,0.18125
83,ENFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.8875,0.11792476415070755,0.13875
84,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.82875,0.1306892784431837,0.18375
85,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.83125,0.11775902300885484,0.17875
86,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.8175,0.1292042955942255,0.1825
87,INFP,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.8275,0.13894693231590252,0.21
88,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFJ']",0.815,0.1374772708486752,0.19
89,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFJ']",0.83375,0.13812924201630877,0.1725
90,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFJ']",0.815,0.14195069566578392,0.17375
91,INFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFJ']",0.8775,0.11855905701379378,0.16
92,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTP']",0.81625,0.12305359604660078,0.19125
93,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTP']",0.815,0.13747727084867517,0.2075
94,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTP']",0.80375,0.1372213084764899,0.21
95,ENTP,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTP']",0.8175,0.15043686383330385,0.1975
96,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTJ']",0.82,0.13499999999999998,0.1775
97,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTJ']",0.8225,0.14051245496396397,0.1875
98,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTJ']",0.82625,0.13216348777177456,0.1775
99,ENTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTJ']",0.88875,0.12734672159109556,0.15
100,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTP']",0.83,0.12186057606953939,0.175
101,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTP']",0.83625,0.13310592586357678,0.16125
102,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTP']",0.81,0.16907838418910914,0.215
103,INTP,"['ESFJ', 'ESFJ', 'ESTJ', 'INTP']",0.81125,0.13974865831198524,0.2175
104,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTJ']",0.82375,0.1469428034985041,0.17375
105,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTJ']",0.83625,0.1517553541065356,0.175
106,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTJ']",0.82375,0.13001802759617606,0.18
107,INTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTJ']",0.87,0.1130818287789864,0.16125
108,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESFP']",0.83125,0.13849074878850212,0.19
109,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESFP']",0.8225,0.12013013776733963,0.21125
110,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESFP']",0.81875,0.15347536447260843,0.20375
111,ESFP,"['ESFJ', 'ESFJ', 'ESTJ', 'ESFP']",0.7625,0.13975424859373686,0.21625
112,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTP']",0.82,0.12663925141913937,0.215
113,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTP']",0.8025,0.1336740438529485,0.2
114,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTP']",0.81375,0.14842401254514043,0.21625
115,ESTP,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTP']",0.75875,0.14817114260206,0.2425
116,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFP']",0.82375,0.1490543105716839,0.2075
117,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFP']",0.805,0.14611639196202456,0.17625
118,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFP']",0.8175,0.12427288521636569,0.19625
119,ISFP,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFP']",0.7475,0.1457523584714841,0.26875
120,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTP']",0.815,0.14304719500919966,0.2025
121,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTP']",0.83875,0.1302581571342079,0.1825
122,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTP']",0.82,0.14718186029535024,0.175
123,ISTP,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTP']",0.76375,0.16287936486860452,0.25125
124,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFJ']",0.805,0.14177446878757824,0.19
125,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFJ']",0.8175,0.13966477723463422,0.19375
126,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFJ']",0.8125,0.13975424859373686,0.19875
127,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFJ']",0.82875,0.13068927844318373,0.2
128,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTJ']",0.82,0.11635076278220094,0.175
129,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTJ']",0.79375,0.15449008867885342,0.22125
130,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTJ']",0.81125,0.13520239457938607,0.21125
131,ISTJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTJ']",0.81875,0.13735788109897445,0.2
132,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFP']",0.8325,0.1394408476738434,0.175
133,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFP']",0.83125,0.13735788109897443,0.18125
134,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFP']",0.82625,0.14240676774648037,0.19375
135,ENFP,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFP']",0.81375,0.11109539819452467,0.19375
136,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFJ']",0.8175,0.12552390210633194,0.18375
137,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFJ']",0.81375,0.12685498610618345,0.19125
138,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFJ']",0.805,0.14718186029535027,0.22375
139,ENFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFJ']",0.875,0.1159202311936963,0.14375
140,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFP']",0.8375,0.14947825928876748,0.175
141,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFP']",0.79125,0.1346929378252624,0.205
142,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFP']",0.795,0.150540692173246,0.2225
143,INFP,"['ESFJ', 'ESFJ', 'ISFJ', 'INFP']",0.805,0.1439618004888797,0.2325
144,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFJ']",0.83125,0.12914986449857394,0.1725
145,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFJ']",0.83125,0.13272975363497064,0.16125
146,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFJ']",0.815,0.1419506956657839,0.19
147,INFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFJ']",0.89375,0.11370878374162657,0.1475
148,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTP']",0.80875,0.15557855732715867,0.1875
149,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTP']",0.8175,0.1545355946052559,0.19
150,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTP']",0.81875,0.15142551799482146,0.205
151,ENTP,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTP']",0.82625,0.1434997822297999,0.19625
152,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTJ']",0.84375,0.13272975363497064,0.155
153,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTJ']",0.81,0.14304719500919968,0.19375
154,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTJ']",0.815,0.14413535305399575,0.20875
155,ENTJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTJ']",0.885,0.11816302298096472,0.13
156,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTP']",0.8275,0.12346558224865746,0.18
157,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTP']",0.8175,0.13160072188251856,0.1775
158,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTP']",0.83125,0.1267070933294581,0.2025
159,INTP,"['ESFJ', 'ESFJ', 'ISFJ', 'INTP']",0.8125,0.11924240017711821,0.205
160,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTJ']",0.82625,0.12486868102130334,0.16625
161,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTJ']",0.82,0.13499999999999998,0.1775
162,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTJ']",0.8325,0.13718144918318947,0.185
163,INTJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTJ']",0.88125,0.10950884667459519,0.15
164,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESFP']",0.83375,0.13812924201630877,0.165
165,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESFP']",0.83,0.13977660748494364,0.19
166,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESFP']",0.81875,0.1429324578253659,0.215
167,ESFP,"['ESFJ', 'ESFJ', 'ISFJ', 'ESFP']",0.74375,0.1594668852771634,0.255
168,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESTP']",0.80375,0.13376168173284902,0.20875
169,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESTP']",0.80875,0.14626068337048068,0.20625
170,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESTP']",0.82375,0.12636133704579103,0.20125
171,ESTP,"['ESFJ', 'ESFJ', 'ISFJ', 'ESTP']",0.73125,0.16044372066241794,0.2575
172,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFP']",0.82375,0.14041790306082766,0.195
173,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFP']",0.7925,0.15022899187573618,0.2025
174,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFP']",0.83125,0.14934753931685651,0.20625
175,ISFP,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFP']",0.77875,0.15797052731443295,0.23
176,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTP']",0.8125,0.14306903927824496,0.19125
177,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTP']",0.81,0.15660459763365825,0.1825
178,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTP']",0.81,0.14735162028291374,0.22875
179,ISTP,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTP']",0.755,0.17403304283957116,0.265
180,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTJ']",0.82625,0.13794813336903114,0.1775
181,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTJ']",0.81,0.13518505834595773,0.205
182,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTJ']",0.8125,0.1293010054098575,0.20125
183,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTJ']",0.80125,0.1480023226169103,0.21875
184,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFP']",0.81375,0.1408622997824471,0.1925
185,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFP']",0.82,0.14177446878757824,0.1925
186,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFP']",0.835,0.14671400751121205,0.20375
187,ENFP,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFP']",0.81,0.14945735177635122,0.185
188,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFJ']",0.8075,0.14728798321655437,0.19625
189,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFJ']",0.82,0.12908330643425586,0.185
190,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFJ']",0.825,0.14252192813739223,0.19375
191,ENFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFJ']",0.87875,0.12048729186100914,0.13375
192,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFP']",0.83375,0.12381311521805757,0.15375
193,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFP']",0.80625,0.12793430931536703,0.20125
194,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFP']",0.8275,0.1378178145233772,0.18625
195,INFP,"['ESFJ', 'ESFJ', 'ISTJ', 'INFP']",0.83375,0.12631186603007652,0.1975
196,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFJ']",0.8125,0.14842927608797396,0.19125
197,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFJ']",0.81625,0.14518845511954456,0.1775
198,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFJ']",0.79875,0.15092941230919835,0.215
199,INFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFJ']",0.89375,0.11092649593311779,0.1425
200,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTP']",0.82625,0.13450720240938774,0.16
201,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTP']",0.81375,0.15461140805257548,0.21
202,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTP']",0.805,0.13615248804190103,0.2175
203,ENTP,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTP']",0.81375,0.1340417379027891,0.195
204,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTJ']",0.815,0.14521535731457608,0.1925
205,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTJ']",0.81875,0.13154728237405744,0.19
206,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTJ']",0.8175,0.13040801355744977,0.2175
207,ENTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTJ']",0.85625,0.13506364240608945,0.1525
208,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTP']",0.8275,0.1259712268734412,0.185
209,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTP']",0.8175,0.1351156911687166,0.1675
210,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTP']",0.81,0.14304719500919966,0.205
211,INTP,"['ESFJ', 'ESFJ', 'ISTJ', 'INTP']",0.835,0.14348344852281741,0.20125
212,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTJ']",0.815,0.13633598204435982,0.18875
213,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTJ']",0.8075,0.1351156911687166,0.19
214,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTJ']",0.82625,0.13216348777177456,0.195
215,INTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTJ']",0.87,0.11445523142259595,0.14875
216,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESFP']",0.80625,0.13735788109897443,0.2075
217,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESFP']",0.80375,0.1383552944415211,0.2025
218,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESFP']",0.8175,0.1292042955942255,0.22375
219,ESFP,"['ESFJ', 'ESFJ', 'ISTJ', 'ESFP']",0.745,0.16763054614240214,0.255
220,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESTP']",0.8275,0.13894693231590252,0.19625
221,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESTP']",0.81875,0.16141464462681196,0.20125
222,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESTP']",0.84375,0.13390178303517844,0.19
223,ESTP,"['ESFJ', 'ESFJ', 'ISTJ', 'ESTP']",0.74,0.16458280590632787,0.235
224,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISFP']",0.8375,0.13050383136138188,0.14625
225,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISFP']",0.8025,0.13939601859450648,0.20375
226,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISFP']",0.825,0.1520690632574555,0.23
227,ISFP,"['ESFJ', 'ESFJ', 'ISTJ', 'ISFP']",0.77375,0.1486344088695481,0.24625
228,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTP']",0.82875,0.11944533268403583,0.19375
229,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTP']",0.81625,0.15457097884143714,0.1775
230,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTP']",0.80375,0.13021016665376017,0.21875
231,ISTP,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTP']",0.75625,0.15549819130780912,0.25625
232,ESFJ,"['ESFJ', 'ESFJ', 'ENFP', 'ENFP']",0.83,0.12057155551787492,0.1725
233,ESFJ,"['ESFJ', 'ESFJ', 'ENFP', 'ENFP']",0.81625,0.13630732738924933,0.20125
234,ENFP,"['ESFJ', 'ESFJ', 'ENFP', 'ENFP']",0.8375,0.1328768226591831,0.17125
235,ENFP,"['ESFJ', 'ESFJ', 'ENFP', 'ENFP']",0.815,0.14304719500919966,0.19375
236,ESFJ,"['ESFJ', 'ESFJ', 'ENFP', 'ENFJ']",0.82375,0.1480023226169103,0.17875
237,ESFJ,"['ESFJ', 'ESFJ', 'ENFP', 'ENFJ']",0.8,0.1446979612848778,0.2025
