,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
54,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTP']",0.825,0.13919410907075053,0.1975
55,ESTP,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTP']",0.7575,0.15392774278862145,0.23875
56,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.8275,0.13894693231590255,0.17375
57,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.83,0.12932517156377563,0.1775
58,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.835,0.1321457528640251,0.185
59,ISFP,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.78625,0.1564199076204816,0.23875
60,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.81125,0.1374943180644204,0.1925
61,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.81375,0.14523149623962428,0.1975
62,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.8325,0.14276291535269234,0.1725
63,ISTP,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.7775,0.14956186011146022,0.24875
64,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.82,0.13383758814324173,0.17875
65,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.825,0.14031215200402278,0.1825
66,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.81875,0.127934309315367,0.1875
67,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.8425,0.13301785594423027,0.1825
68,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.81,0.14521535731457605,0.19125
69,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.81875,0.13849074878850212,0.18625
70,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.83,0.12057155551787493,0.19125
71,ISFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.82625,0.1529859062136117,0.19875
72,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.80375,0.1543686739594533,0.18875
73,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.82875,0.12948817513580152,0.19375
74,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.8025,0.13131545986668897,0.195
75,ISTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.81125,0.13520239457938604,0.24
76,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.82875,0.1306892784431837,0.1775
77,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.83,0.1317193987231949,0.17625
78,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.825,0.1346291201783626,0.2025
79,ENFP,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.81625,0.13515615968205077,0.2075
80,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.82375,0.1393007088998473,0.19875
81,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.815,0.1230853362509117,0.19375
82,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.8375,0.13635890143294643,0.18
83,ENFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.87625,0.12310437644535632,0.1375
84,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.8275,0.14446020213193667,0.19
85,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.81875,0.14617519454408123,0.18625
86,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.83,0.12811127975318956,0.17875
87,INFP,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.8325,0.13372079120316333,0.185
88,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFJ']",0.8475,0.12193748398257198,0.16625
89,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFJ']",0.82875,0.12948817513580152,0.16625
90,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFJ']",0.83,0.13290033860002012,0.1725
91,INFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFJ']",0.88375,0.10933749356922356,0.13625
92,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTP']",0.81375,0.14196720572019442,0.19875
93,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTP']",0.81625,0.15355678916934934,0.195
94,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTP']",0.825,0.12990381056766578,0.19375
95,ENTP,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTP']",0.82,0.13955285736952863,0.19875
96,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTJ']",0.8275,0.1378178145233772,0.18125
97,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTJ']",0.80875,0.1595452522013739,0.2025
98,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTJ']",0.8325,0.1360376786041279,0.165
99,ENTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENTJ']",0.88625,0.10910860415200996,0.13125
100,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTP']",0.81625,0.1430198849810753,0.19
101,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTP']",0.82375,0.12636133704579103,0.1925
102,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTP']",0.81875,0.14510233457804877,0.18375
