,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
4056,ESTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'INTP']",0.829125,0.13751766931925513,0.170375
4057,ISFJ,"['ESTJ', 'ISFJ', 'ENTJ', 'INTP']",0.823625,0.13393556053192146,0.1965
4058,ENTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'INTP']",0.887625,0.1112990762540283,0.1225
4059,INTP,"['ESTJ', 'ISFJ', 'ENTJ', 'INTP']",0.813375,0.1356668138307965,0.200125
4060,ESTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'INTJ']",0.817125,0.14101368506283352,0.17675
4061,ISFJ,"['ESTJ', 'ISFJ', 'ENTJ', 'INTJ']",0.826,0.13557378065097986,0.187875
4062,ENTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'INTJ']",0.880875,0.12150045010204696,0.126875
4063,INTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'INTJ']",0.883625,0.11833737522439815,0.139
4064,ESTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ESFP']",0.819875,0.13535364559183471,0.184375
4065,ISFJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ESFP']",0.827375,0.13929728775177214,0.201125
4066,ENTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ESFP']",0.877875,0.1162211657788718,0.13725
4067,ESFP,"['ESTJ', 'ISFJ', 'ENTJ', 'ESFP']",0.760375,0.159104476288381,0.237875
4068,ESTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ESTP']",0.81525,0.14347887475165116,0.18925
4069,ISFJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ESTP']",0.81,0.1451077186093145,0.218
4070,ENTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ESTP']",0.885625,0.12156370500688106,0.139625
4071,ESTP,"['ESTJ', 'ISFJ', 'ENTJ', 'ESTP']",0.75075,0.1551191074626205,0.2495
4072,ESTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ISFP']",0.821,0.14072224415493095,0.176125
4073,ISFJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ISFP']",0.817375,0.14287664041053036,0.20925
4074,ENTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ISFP']",0.883625,0.11647417900547744,0.12875
4075,ISFP,"['ESTJ', 'ISFJ', 'ENTJ', 'ISFP']",0.754875,0.15589855475596945,0.25375
4076,ESTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ISTP']",0.82025,0.1384149106852293,0.1785
4077,ISFJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ISTP']",0.816125,0.1419264223990727,0.2085
4078,ENTJ,"['ESTJ', 'ISFJ', 'ENTJ', 'ISTP']",0.877375,0.12277004673372084,0.13925
4079,ISTP,"['ESTJ', 'ISFJ', 'ENTJ', 'ISTP']",0.7555,0.15000333329629711,0.254875
4080,ESTJ,"['ESTJ', 'ISFJ', 'INTP', 'INTP']",0.817375,0.1375272132161486,0.17175
4081,ISFJ,"['ESTJ', 'ISFJ', 'INTP', 'INTP']",0.815625,0.1367807894954551,0.203375
4082,INTP,"['ESTJ', 'ISFJ', 'INTP', 'INTP']",0.821,0.14138688057949367,0.201
4083,INTP,"['ESTJ', 'ISFJ', 'INTP', 'INTP']",0.81925,0.1407060322089995,0.2025
4084,ESTJ,"['ESTJ', 'ISFJ', 'INTP', 'INTJ']",0.823875,0.1423968376580042,0.162875
4085,ISFJ,"['ESTJ', 'ISFJ', 'INTP', 'INTJ']",0.812875,0.13863119914002042,0.204375
4086,INTP,"['ESTJ', 'ISFJ', 'INTP', 'INTJ']",0.819,0.145628808963062,0.19225
4087,INTJ,"['ESTJ', 'ISFJ', 'INTP', 'INTJ']",0.881125,0.11569079209254296,0.149
4088,ESTJ,"['ESTJ', 'ISFJ', 'INTP', 'ESFP']",0.804375,0.14479376497280538,0.194
4089,ISFJ,"['ESTJ', 'ISFJ', 'INTP', 'ESFP']",0.819375,0.1391365673538053,0.21775
4090,INTP,"['ESTJ', 'ISFJ', 'INTP', 'ESFP']",0.816,0.14302622137216658,0.21325
4091,ESFP,"['ESTJ', 'ISFJ', 'INTP', 'ESFP']",0.752375,0.15414274026044822,0.241
4092,ESTJ,"['ESTJ', 'ISFJ', 'INTP', 'ESTP']",0.82275,0.14368346286194525,0.18075
4093,ISFJ,"['ESTJ', 'ISFJ', 'INTP', 'ESTP']",0.819,0.13723246700398564,0.21775
4094,INTP,"['ESTJ', 'ISFJ', 'INTP', 'ESTP']",0.816375,0.14268841710173955,0.214375
4095,ESTP,"['ESTJ', 'ISFJ', 'INTP', 'ESTP']",0.750125,0.15426230704549962,0.23725
4096,ESTJ,"['ESTJ', 'ISFJ', 'INTP', 'ISFP']",0.82025,0.137849328979143,0.161625
4097,ISFJ,"['ESTJ', 'ISFJ', 'INTP', 'ISFP']",0.825375,0.13994368286921707,0.20825
4098,INTP,"['ESTJ', 'ISFJ', 'INTP', 'ISFP']",0.81925,0.13699247242093268,0.20575
4099,ISFP,"['ESTJ', 'ISFJ', 'INTP', 'ISFP']",0.757625,0.16014051447088581,0.258375
4100,ESTJ,"['ESTJ', 'ISFJ', 'INTP', 'ISTP']",0.81725,0.13500902747594323,0.172
4101,ISFJ,"['ESTJ', 'ISFJ', 'INTP', 'ISTP']",0.82525,0.1335568699094135,0.20575
4102,INTP,"['ESTJ', 'ISFJ', 'INTP', 'ISTP']",0.821375,0.1380080953241512,0.204875
4103,ISTP,"['ESTJ', 'ISFJ', 'INTP', 'ISTP']",0.758875,0.15622294765814654,0.254375
4104,ESTJ,"['ESTJ', 'ISFJ', 'INTJ', 'INTJ']",0.821625,0.1388946880733745,0.166375
4105,ISFJ,"['ESTJ', 'ISFJ', 'INTJ', 'INTJ']",0.8285,0.13202840603445912,0.18475
4106,INTJ,"['ESTJ', 'ISFJ', 'INTJ', 'INTJ']",0.880375,0.11720381553089472,0.139625
4107,INTJ,"['ESTJ', 'ISFJ', 'INTJ', 'INTJ']",0.88125,0.11868419229198132,0.136875
4108,ESTJ,"['ESTJ', 'ISFJ', 'INTJ', 'ESFP']",0.81525,0.14095189782333545,0.182875
4109,ISFJ,"['ESTJ', 'ISFJ', 'INTJ', 'ESFP']",0.823,0.14069825869569247,0.2045
4110,INTJ,"['ESTJ', 'ISFJ', 'INTJ', 'ESFP']",0.871625,0.12501693635263983,0.161875
4111,ESFP,"['ESTJ', 'ISFJ', 'INTJ', 'ESFP']",0.757875,0.15747177326429013,0.23825
4112,ESTJ,"['ESTJ', 'ISFJ', 'INTJ', 'ESTP']",0.82025,0.13671114621712452,0.1765
4113,ISFJ,"['ESTJ', 'ISFJ', 'INTJ', 'ESTP']",0.8245,0.13811136810559801,0.207375
4114,INTJ,"['ESTJ', 'ISFJ', 'INTJ', 'ESTP']",0.877125,0.12020236842508554,0.158375
4115,ESTP,"['ESTJ', 'ISFJ', 'INTJ', 'ESTP']",0.754625,0.15630653977041395,0.233
4116,ESTJ,"['ESTJ', 'ISFJ', 'INTJ', 'ISFP']",0.823875,0.13321264720363454,0.167
4117,ISFJ,"['ESTJ', 'ISFJ', 'INTJ', 'ISFP']",0.82475,0.13910405278064333,0.1955
4118,INTJ,"['ESTJ', 'ISFJ', 'INTJ', 'ISFP']",0.884375,0.11370019514055374,0.14675
4119,ISFP,"['ESTJ', 'ISFJ', 'INTJ', 'ISFP']",0.7525,0.15429274124209472,0.256875
4120,ESTJ,"['ESTJ', 'ISFJ', 'INTJ', 'ISTP']",0.823625,0.1377315663709667,0.161
4121,ISFJ,"['ESTJ', 'ISFJ', 'INTJ', 'ISTP']",0.819375,0.1432314014977163,0.199
4122,INTJ,"['ESTJ', 'ISFJ', 'INTJ', 'ISTP']",0.8855,0.11732327134886752,0.149125
4123,ISTP,"['ESTJ', 'ISFJ', 'INTJ', 'ISTP']",0.7535,0.15315515009296946,0.255
4124,ESTJ,"['ESTJ', 'ISFJ', 'ESFP', 'ESFP']",0.81975,0.1406811554544531,0.193875
4125,ISFJ,"['ESTJ', 'ISFJ', 'ESFP', 'ESFP']",0.82325,0.13956427730619322,0.222125
4126,ESFP,"['ESTJ', 'ISFJ', 'ESFP', 'ESFP']",0.76025,0.15068987192243546,0.246625
4127,ESFP,"['ESTJ', 'ISFJ', 'ESFP', 'ESFP']",0.75075,0.15830962541803958,0.25
4128,ESTJ,"['ESTJ', 'ISFJ', 'ESFP', 'ESTP']",0.823,0.13698448817293146,0.193875
4129,ISFJ,"['ESTJ', 'ISFJ', 'ESFP', 'ESTP']",0.8255,0.14093349495418042,0.2165
4130,ESFP,"['ESTJ', 'ISFJ', 'ESFP', 'ESTP']",0.769125,0.15570359461168518,0.23625
4131,ESTP,"['ESTJ', 'ISFJ', 'ESFP', 'ESTP']",0.7605,0.14921377282275253,0.236875
4132,ESTJ,"['ESTJ', 'ISFJ', 'ESFP', 'ISFP']",0.822375,0.13519424682655692,0.181625
4133,ISFJ,"['ESTJ', 'ISFJ', 'ESFP', 'ISFP']",0.819125,0.14026710011617122,0.220375
4134,ESFP,"['ESTJ', 'ISFJ', 'ESFP', 'ISFP']",0.76525,0.15557936077770726,0.2245
4135,ISFP,"['ESTJ', 'ISFJ', 'ESFP', 'ISFP']",0.759125,0.15500357858772162,0.267625
4136,ESTJ,"['ESTJ', 'ISFJ', 'ESFP', 'ISTP']",0.810125,0.13815972414202338,0.18925
4137,ISFJ,"['ESTJ', 'ISFJ', 'ESFP', 'ISTP']",0.82275,0.13551268390818624,0.22
4138,ESFP,"['ESTJ', 'ISFJ', 'ESFP', 'ISTP']",0.75875,0.1543686739594533,0.23875
4139,ISTP,"['ESTJ', 'ISFJ', 'ESFP', 'ISTP']",0.762125,0.15266338583629016,0.26125
4140,ESTJ,"['ESTJ', 'ISFJ', 'ESTP', 'ESTP']",0.827375,0.13415470314155967,0.19525
4141,ISFJ,"['ESTJ', 'ISFJ', 'ESTP', 'ESTP']",0.824125,0.13904535006608454,0.22175
4142,ESTP,"['ESTJ', 'ISFJ', 'ESTP', 'ESTP']",0.75675,0.15446905029810987,0.241125
4143,ESTP,"['ESTJ', 'ISFJ', 'ESTP', 'ESTP']",0.758625,0.15753169323980493,0.238875
4144,ESTJ,"['ESTJ', 'ISFJ', 'ESTP', 'ISFP']",0.817,0.1343214428153599,0.19175
