,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
1820,ESFJ,"['ESFJ', 'ENFP', 'ENFP', 'INFJ']",0.81,0.1419506956657839,0.20125
1821,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'INFJ']",0.84,0.12384466076500837,0.18
1822,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'INFJ']",0.815,0.1397318861248212,0.175
1823,INFJ,"['ESFJ', 'ENFP', 'ENFP', 'INFJ']",0.88375,0.1189209296129155,0.1375
1824,ESFJ,"['ESFJ', 'ENFP', 'ENFP', 'ENTP']",0.8375,0.1293010054098575,0.19125
1825,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ENTP']",0.785,0.16777961735562516,0.22375
1826,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ENTP']",0.81125,0.14842401254514043,0.2025
1827,ENTP,"['ESFJ', 'ENFP', 'ENFP', 'ENTP']",0.79375,0.13154728237405744,0.21
1828,ESFJ,"['ESFJ', 'ENFP', 'ENFP', 'ENTJ']",0.8075,0.13626720074911644,0.20625
1829,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ENTJ']",0.81125,0.14196720572019442,0.1925
1830,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ENTJ']",0.82625,0.12856783229097396,0.1875
1831,ENTJ,"['ESFJ', 'ENFP', 'ENFP', 'ENTJ']",0.88125,0.10514127400787951,0.1375
1832,ESFJ,"['ESFJ', 'ENFP', 'ENFP', 'INTP']",0.825,0.125,0.17875
1833,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'INTP']",0.84875,0.11221491656638169,0.16125
1834,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'INTP']",0.81875,0.14510233457804875,0.1925
1835,INTP,"['ESFJ', 'ENFP', 'ENFP', 'INTP']",0.79,0.13679364020304452,0.24375
1836,ESFJ,"['ESFJ', 'ENFP', 'ENFP', 'INTJ']",0.81375,0.13520239457938604,0.19875
1837,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'INTJ']",0.8,0.12624381172952595,0.19625
1838,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'INTJ']",0.8225,0.1336740438529485,0.1875
1839,INTJ,"['ESFJ', 'ENFP', 'ENFP', 'INTJ']",0.87375,0.13404173790278906,0.16125
1840,ESFJ,"['ESFJ', 'ENFP', 'ENFP', 'ESFP']",0.81125,0.13862607078035502,0.22
1841,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ESFP']",0.79875,0.140195176450547,0.22125
1842,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ESFP']",0.8075,0.1545355946052559,0.20625
1843,ESFP,"['ESFJ', 'ENFP', 'ENFP', 'ESFP']",0.7425,0.16184483309639516,0.27125
1844,ESFJ,"['ESFJ', 'ENFP', 'ENFP', 'ESTP']",0.81125,0.14196720572019442,0.2075
1845,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ESTP']",0.81125,0.14306357852367596,0.19375
1846,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ESTP']",0.81625,0.13282389656985674,0.2075
1847,ESTP,"['ESFJ', 'ENFP', 'ENFP', 'ESTP']",0.77,0.16174826119621813,0.23625
1848,ESFJ,"['ESFJ', 'ENFP', 'ENFP', 'ISFP']",0.82125,0.14280121673151108,0.18
1849,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ISFP']",0.83125,0.12167451458707366,0.19625
1850,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ISFP']",0.82875,0.14214319364640715,0.17
1851,ISFP,"['ESFJ', 'ENFP', 'ENFP', 'ISFP']",0.75875,0.14497305784179346,0.25625
1852,ESFJ,"['ESFJ', 'ENFP', 'ENFP', 'ISTP']",0.805,0.15239750654128173,0.21375
1853,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ISTP']",0.81625,0.14943121327219425,0.1925
1854,ENFP,"['ESFJ', 'ENFP', 'ENFP', 'ISTP']",0.8,0.13806701271484076,0.2075
1855,ISTP,"['ESFJ', 'ENFP', 'ENFP', 'ISTP']",0.73,0.16837458240482736,0.29125
1856,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ENFJ']",0.81625,0.14081792322002196,0.18375
1857,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'ENFJ']",0.82875,0.13992743655195003,0.185
1858,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ENFJ']",0.88,0.12237238250520417,0.1325
1859,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ENFJ']",0.91375,0.09793971359974463,0.11625
1860,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'INFP']",0.80875,0.1525358564403793,0.2025
1861,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'INFP']",0.81125,0.14947303268482914,0.19375
1862,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'INFP']",0.89,0.10937321427113679,0.12875
1863,INFP,"['ESFJ', 'ENFP', 'ENFJ', 'INFP']",0.83375,0.13812924201630877,0.19375
1864,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'INFJ']",0.81625,0.1316422709466834,0.18375
1865,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'INFJ']",0.815,0.14521535731457605,0.18125
1866,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'INFJ']",0.8725,0.13344006145082518,0.14
1867,INFJ,"['ESFJ', 'ENFP', 'ENFJ', 'INFJ']",0.84875,0.1135988006098656,0.18
1868,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ENTP']",0.83875,0.12027962213109915,0.17875
1869,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'ENTP']",0.83,0.1268857754044952,0.18625
1870,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ENTP']",0.87375,0.1316897395395708,0.13375
1871,ENTP,"['ESFJ', 'ENFP', 'ENFJ', 'ENTP']",0.84,0.138157518796481,0.16875
1872,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ENTJ']",0.80375,0.15934926262772603,0.2075
1873,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'ENTJ']",0.83875,0.1266084021698402,0.17625
1874,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ENTJ']",0.90625,0.10661701318269988,0.0975
1875,ENTJ,"['ESFJ', 'ENFP', 'ENFJ', 'ENTJ']",0.87,0.11028372500056387,0.13875
1876,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'INTP']",0.82125,0.14389123496585884,0.18125
1877,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'INTP']",0.80875,0.1419231746403666,0.19125
1878,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'INTP']",0.86625,0.10789896894780786,0.15125
1879,INTP,"['ESFJ', 'ENFP', 'ENFJ', 'INTP']",0.81875,0.13035408509133883,0.21125
1880,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'INTJ']",0.8125,0.14737282653189496,0.185
1881,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'INTJ']",0.805,0.14177446878757827,0.2075
1882,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'INTJ']",0.85875,0.13187944305311575,0.15
1883,INTJ,"['ESFJ', 'ENFP', 'ENFJ', 'INTJ']",0.8625,0.13287682265918313,0.18
1884,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ESFP']",0.85125,0.12710109165542208,0.15875
1885,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'ESFP']",0.81625,0.13515615968205075,0.205
1886,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ESFP']",0.8825,0.10726718976462468,0.1375
1887,ESFP,"['ESFJ', 'ENFP', 'ENFJ', 'ESFP']",0.76625,0.1496401934641893,0.2275
1888,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ESTP']",0.8125,0.14947825928876748,0.2025
1889,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'ESTP']",0.82125,0.13140467076934517,0.18375
1890,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ESTP']",0.89125,0.10847666799823821,0.14125
1891,ESTP,"['ESFJ', 'ENFP', 'ENFJ', 'ESTP']",0.745,0.15704298774539413,0.25125
1892,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ISFP']",0.8375,0.14306903927824496,0.175
1893,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'ISFP']",0.81625,0.1605216106946351,0.1925
1894,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ISFP']",0.87,0.11169153951844338,0.15125
1895,ISFP,"['ESFJ', 'ENFP', 'ENFJ', 'ISFP']",0.74125,0.16417882780675463,0.27375
1896,ESFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ISTP']",0.82625,0.1210565467044224,0.17375
1897,ENFP,"['ESFJ', 'ENFP', 'ENFJ', 'ISTP']",0.81625,0.14732510817915595,0.21125
1898,ENFJ,"['ESFJ', 'ENFP', 'ENFJ', 'ISTP']",0.8825,0.12351619327035626,0.13125
1899,ISTP,"['ESFJ', 'ENFP', 'ENFJ', 'ISTP']",0.745,0.16000000000000003,0.25875
1900,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'INFP']",0.8325,0.13718144918318947,0.17125
1901,ENFP,"['ESFJ', 'ENFP', 'INFP', 'INFP']",0.8375,0.11659223816361018,0.18
1902,INFP,"['ESFJ', 'ENFP', 'INFP', 'INFP']",0.79875,0.13334049459935268,0.2075
1903,INFP,"['ESFJ', 'ENFP', 'INFP', 'INFP']",0.80875,0.13044994250669487,0.2125
1904,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'INFJ']",0.82875,0.1181299602133176,0.16625
1905,ENFP,"['ESFJ', 'ENFP', 'INFP', 'INFJ']",0.82,0.14718186029535024,0.18875
1906,INFP,"['ESFJ', 'ENFP', 'INFP', 'INFJ']",0.805,0.15239750654128173,0.205
1907,INFJ,"['ESFJ', 'ENFP', 'INFP', 'INFJ']",0.8925,0.09685685313905258,0.15125
1908,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'ENTP']",0.82125,0.12900460263106892,0.19375
1909,ENFP,"['ESFJ', 'ENFP', 'INFP', 'ENTP']",0.82625,0.12856783229097393,0.17875
1910,INFP,"['ESFJ', 'ENFP', 'INFP', 'ENTP']",0.82,0.1503329637837291,0.215
1911,ENTP,"['ESFJ', 'ENFP', 'INFP', 'ENTP']",0.8075,0.14728798321655437,0.1825
1912,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'ENTJ']",0.79125,0.13352785289968533,0.20875
1913,ENFP,"['ESFJ', 'ENFP', 'INFP', 'ENTJ']",0.8275,0.13083864108129525,0.18875
1914,INFP,"['ESFJ', 'ENFP', 'INFP', 'ENTJ']",0.835,0.12732831578246842,0.19625
1915,ENTJ,"['ESFJ', 'ENFP', 'INFP', 'ENTJ']",0.8675,0.13088640112708425,0.14
1916,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'INTP']",0.84875,0.12783656558277837,0.16
1917,ENFP,"['ESFJ', 'ENFP', 'INFP', 'INTP']",0.8175,0.14407029534223909,0.16375
1918,INFP,"['ESFJ', 'ENFP', 'INFP', 'INTP']",0.81625,0.1515080443408864,0.2125
1919,INTP,"['ESFJ', 'ENFP', 'INFP', 'INTP']",0.82,0.132664991614216,0.2025
1920,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'INTJ']",0.8,0.14031215200402278,0.20375
1921,ENFP,"['ESFJ', 'ENFP', 'INFP', 'INTJ']",0.80375,0.14497305784179348,0.18375
1922,INFP,"['ESFJ', 'ENFP', 'INFP', 'INTJ']",0.81875,0.13506364240608942,0.205
1923,INTJ,"['ESFJ', 'ENFP', 'INFP', 'INTJ']",0.88875,0.1144210972679427,0.15875
1924,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'ESFP']",0.82625,0.1540038554712186,0.1975
1925,ENFP,"['ESFJ', 'ENFP', 'INFP', 'ESFP']",0.82875,0.14103966640629864,0.16625
1926,INFP,"['ESFJ', 'ENFP', 'INFP', 'ESFP']",0.8375,0.14737282653189496,0.2
1927,ESFP,"['ESFJ', 'ENFP', 'INFP', 'ESFP']",0.7675,0.14254385290148433,0.2275
1928,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'ESTP']",0.8125,0.14842927608797396,0.21375
1929,ENFP,"['ESFJ', 'ENFP', 'INFP', 'ESTP']",0.82125,0.14389123496585884,0.19125
