study_gr_no,alfa,bravo,charlie,delta
1,ESFJ,ESTJ,ENFP,INFJ
2,ISFJ,ESTP,ISFP,ENFJ
3,ISTJ,ISTP,ESFP,ENTJ
4,INTP,INTJ,INFP,ENTP
5,ESFJ,ISFJ,ISTJ,INTP
6,ESTJ,ESTP,ISTP,INTJ
7,ENFP,ISFP,ESFP,INFP
8,INFJ,ENFJ,ENTJ,ISFJ
9,ESFJ,ISTP,ESTP,ENTP
10,ESTJ,ISFP,ISTJ,ESFP
11,ENFP,INTJ,INFP,ENTJ
12,ENFJ,INTP,INFJ,ENTP
13,ESFJ,ISFJ,ENFP,INFP
14,ENTP,INTP,ESFP,ISFP
15,ESTJ,ISTJ,ENFJ,INFJ
16,ENTJ,INTJ,ESTP,ISTP
