study_gr_no,alfa,bravo,charlie,delta
1,ESFJ,ESFJ,ESFJ,ESFJ
2,ESTJ,ESTJ,ESTJ,ESTJ
3,ISFJ,ISFJ,ISFJ,ISFJ
4,ISTJ,ISTJ,ISTJ,ISTJ
5,ENFP,ENFP,ENFP,ENFP
6,ENFJ,ENFJ,ENFJ,ENFJ
7,INFP,INFP,INFP,INFP
8,INFJ,INFJ,INFJ,INFJ
9,ENTP,ENTP,ENTP,ENTP
10,ENTJ,ENTJ,ENTJ,ENTJ
11,INTP,INTP,INTP,INTP
12,INTJ,INTJ,INTJ,INTJ
13,ESFP,ESFP,ESFP,ESFP
14,ESTP,ESTP,ESTP,ESTP
15,ISFP,ISFP,ISFP,ISFP
16,ISTP,ISTP,ISTP,ISTP
